iter	Passed	Remaining
0	1	163
1	2	142
2	4	137
3	5	124
4	6	121
5	7	119
6	8	117
7	10	115
8	11	114
9	12	113
10	13	111
11	15	110
12	16	109
13	17	108
14	18	107
15	19	104
16	21	103
17	22	102
18	23	101
19	25	100
20	26	99
21	27	98
22	29	97
23	32	104
24	34	104
25	36	104
26	38	104
27	39	102
28	41	100
29	42	98
30	43	97
31	45	95
32	46	94
33	47	92
34	49	91
35	50	89
36	51	88
37	53	86
38	54	85
39	55	83
40	57	82
41	58	81
42	60	79
43	61	77
44	62	76
45	63	74
46	65	73
47	66	72
48	67	70
49	68	68
50	70	67
51	71	65
52	72	64
53	73	62
54	74	61
55	75	59
56	77	58
57	78	56
58	79	55
59	80	53
60	82	52
61	83	51
62	84	49
63	85	48
64	87	46
65	88	45
66	89	44
67	90	42
68	92	41
69	93	40
70	94	38
71	96	37
72	97	35
73	98	34
74	99	33
75	101	31
76	102	30
77	103	29
78	104	27
79	106	26
80	107	25
81	108	23
82	109	22
83	111	21
84	112	19
85	113	18
86	114	17
87	115	15
88	117	14
89	118	13
90	119	11
91	120	10
92	121	9
93	123	7
94	124	6
95	125	5
96	126	3
97	128	2
98	129	1
99	131	0
